"","V1","V2","V3","filter"
"1",-0.0988105,0.00124548,-0.316124,-0.41368902
"2",-0.102405,0.00102769,-0.311719,-0.41309631
"3",-0.0999283,0.00413217,-0.316776,-0.41257213
"4",-0.103547,0.00371962,-0.311934,-0.41176138
"5",-0.0929336,0.00082994,-0.318054,-0.41015766
"6",-0.105205,0.00076753,-0.305436,-0.40987347
"7",-0.0939217,0.00370468,-0.318968,-0.40918502
"8",-0.106292,0.00339104,-0.305235,-0.40813596
"9",-0.100747,0.0121135,-0.317568,-0.4062015
"10",-0.107673,0.00023093,-0.297548,-0.40499007
"11",-0.103954,0.0118191,-0.312442,-0.4045769
"12",-0.094979,0.0111425,-0.320379,-0.4042155
"13",-0.10868,0.00281736,-0.296955,-0.40281764
"14",-0.0845584,-0.00058945,-0.31615,-0.40129785
"15",-0.0852623,0.00213371,-0.317452,-0.40058059
"16",-0.109664,-0.00053194,-0.289854,-0.40004994
"17",-0.106075,0.0113725,-0.304589,-0.3992915
"18",-0.110614,0.00200946,-0.288976,-0.39758054
"19",-0.086298,0.00857748,-0.319845,-0.39756552
"20",-0.101013,0.0230508,-0.317918,-0.3958802
"21",-0.111058,-0.00142614,-0.283086,-0.39557014
"22",-0.0925533,-0.00223136,-0.300296,-0.39508066
"23",-0.0879098,-0.00233492,-0.304721,-0.39496572
"24",-0.0957018,0.0223001,-0.321506,-0.3949077
"25",-0.0767447,-0.00156283,-0.316078,-0.39438553
"26",-0.0772002,0.00104452,-0.317598,-0.39375368
"27",-0.103854,0.023004,-0.31273,-0.39358
"28",-0.111966,0.00106319,-0.282018,-0.39292081
"29",-0.10763,0.0115598,-0.296281,-0.3923512
"30",-0.0781945,0.0066497,-0.320489,-0.3920338
"31",-0.0877316,0.0199294,-0.322593,-0.3903952
"32",-0.0952043,-0.00264359,-0.292201,-0.39004889
"33",-0.0695001,-0.00216843,-0.318001,-0.38966953
"34",-0.0697436,0.00035757,-0.319569,-0.38895503
"35",-0.109796,-0.00230705,-0.276681,-0.38878405
"36",-0.080263,-0.00305477,-0.304935,-0.38825277
"37",-0.105223,0.0225153,-0.305457,-0.3881647
"38",-0.0706797,0.00526617,-0.3225,-0.38791353
"39",-0.0995908,0.0296728,-0.31755,-0.387468
"40",-0.0947377,0.0289598,-0.321167,-0.3869449
"41",-0.0994044,0.0303415,-0.317545,-0.3866079
"42",-0.0800024,0.0177421,-0.32413,-0.3863903
"43",-0.0945536,0.029632,-0.321186,-0.3861076
"44",-0.110588,0.00011707,-0.275482,-0.38595293
"45",-0.108644,0.0115578,-0.288191,-0.3852772
"46",-0.0996522,0.0324199,-0.317967,-0.3851993
"47",-0.102149,0.0297582,-0.312705,-0.3850958
"48",-0.0945304,0.0315997,-0.321935,-0.3848657
"49",-0.10205,0.0304426,-0.312579,-0.3841864
"50",-0.0877427,0.0276181,-0.323375,-0.3834996
"51",-0.095355,-0.00334016,-0.284784,-0.38347916
"52",-0.0637641,-0.00311683,-0.315834,-0.38271493
"53",-0.0873872,0.0282733,-0.323522,-0.3826359
"54",-0.102491,0.0325699,-0.31267,-0.3825911
"55",-0.0723185,0.0168297,-0.326518,-0.3820068
"56",-0.0637655,-0.00074606,-0.317426,-0.38193756
"57",-0.0988179,0.034134,-0.317175,-0.3818589
"58",-0.0938445,0.0333872,-0.321153,-0.3816103
"59",-0.0870596,0.0303146,-0.324518,-0.381263
"60",-0.0642449,0.00387332,-0.320616,-0.38098758
"61",-0.072942,-0.0037944,-0.303821,-0.3805574
"62",-0.103438,0.0295556,-0.306372,-0.3802544
"63",-0.0801959,0.0259585,-0.325345,-0.3795824
"64",-0.10535,0.0225998,-0.296736,-0.3794862
"65",-0.103325,0.0302449,-0.306297,-0.3793771
"66",-0.101426,0.0342965,-0.312184,-0.3793135
"67",-0.10576,-0.003096,-0.270395,-0.379251
"68",-0.0802019,0.0268298,-0.325422,-0.3787941
"69",-0.109105,0.0114279,-0.281041,-0.3787181
"70",-0.0867816,0.032461,-0.323725,-0.3780456
"71",-0.103954,0.0324528,-0.306067,-0.3775682
"72",-0.0801987,0.0292771,-0.326337,-0.3772586
"73",-0.106347,-0.00074827,-0.269108,-0.37620327
"74",-0.0660119,0.0155537,-0.325334,-0.3757922
"75",-0.0730298,0.0245756,-0.326762,-0.3752162
"76",-0.0597477,-0.00379112,-0.311051,-0.37458982
"77",-0.102921,0.0343145,-0.305859,-0.3744655
"78",-0.0730378,0.0254433,-0.326813,-0.3744075
"79",-0.0798656,0.0316461,-0.325553,-0.3737725
"80",-0.0910345,-0.00404997,-0.278435,-0.37351947
"81",-0.0594252,-0.00165541,-0.31227,-0.37335061
"82",-0.0731079,0.0279715,-0.327678,-0.3728144
"83",-0.0596031,0.0025702,-0.315477,-0.3725099
"84",-0.103358,0.0288871,-0.297796,-0.3722669
"85",-0.103223,0.0295514,-0.2978,-0.3714716
"86",-0.0685472,-0.00438354,-0.298385,-0.37131574
"87",-0.107162,0.0108845,-0.274729,-0.3710065
"88",-0.104515,0.0235561,-0.289039,-0.3699979
"89",-0.0671909,0.0231439,-0.325788,-0.369835
"90",-0.103922,0.0318928,-0.29764,-0.3696692
"91",-0.0728779,0.0302425,-0.326748,-0.3693834
"92",-0.0672274,0.0240035,-0.325819,-0.3690429
"93",-0.0907279,0.0381536,-0.315929,-0.3685033
"94",-0.0998876,-0.00373158,-0.264721,-0.36834018
"95",-0.0611686,0.0141794,-0.321202,-0.3681912
"96",-0.0938308,0.0379842,-0.311965,-0.3678116
"97",-0.0671546,0.0265585,-0.326745,-0.3673411
"98",-0.103143,0.0340022,-0.297433,-0.3665738
"99",-0.0850262,0.0380644,-0.318646,-0.3656078
"100",-0.100214,-0.00145753,-0.263377,-0.36504853
"101",-0.0953068,0.037554,-0.306996,-0.3647488
"102",-0.0671049,0.0286888,-0.325728,-0.3641441
"103",-0.0564944,-0.00421707,-0.303237,-0.36394847
"104",-0.0626064,0.0217202,-0.322358,-0.3632442
"105",-0.102192,0.0296457,-0.29028,-0.3628263
"106",-0.0835722,-0.00462313,-0.274437,-0.36263233
"107",-0.0626738,0.0225474,-0.322434,-0.3625604
"108",-0.0558876,-0.00214583,-0.304201,-0.36223443
"109",-0.102022,0.0301894,-0.290298,-0.3621306
"110",-0.0790561,0.0375594,-0.320224,-0.3617207
"111",-0.102584,0.00989512,-0.269012,-0.36170088
"112",-0.0557609,0.00186459,-0.307313,-0.36120931
"113",-0.0969514,0.0376301,-0.301491,-0.3608123
"114",-0.0671188,-0.00478271,-0.288874,-0.36077551
"115",-0.102616,0.0322094,-0.290212,-0.3606186
"116",-0.06221,0.0250092,-0.323338,-0.3605388
"117",-0.102838,0.0244386,-0.281978,-0.3603774
"118",-0.101958,0.0333851,-0.290226,-0.3587989
"119",-0.0627576,0.0273588,-0.322816,-0.3582148
"120",-0.0569381,0.0128556,-0.313894,-0.3579765
"121",-0.0726259,0.0360877,-0.320766,-0.3573042
"122",-0.0985002,0.0375538,-0.295709,-0.3566554
"123",-0.0920279,-0.00421896,-0.25964,-0.35588686
"124",-0.0753498,-0.00488662,-0.275648,-0.35588442
"125",-0.0690712,-0.00499328,-0.280714,-0.35477848
"126",-0.0583344,0.0201168,-0.315661,-0.3538786
"127",-0.0584251,0.0208894,-0.315883,-0.3534187
"128",-0.0999796,0.0307382,-0.283655,-0.3528964
"129",-0.068189,0.0340778,-0.318764,-0.3528752
"130",-0.0997961,0.0310768,-0.283762,-0.3524813
"131",-0.0920409,-0.00202531,-0.258278,-0.35234421
"132",-0.0545344,-0.00448161,-0.293078,-0.35209401
"133",-0.0962058,0.0087158,-0.264381,-0.351871
"134",-0.0979248,0.0366105,-0.29031,-0.3516243
"135",-0.0577017,0.023181,-0.316954,-0.3514747
"136",-0.100136,0.0324344,-0.28357,-0.3512716
"137",-0.0995959,0.025075,-0.27624,-0.3507609
"138",-0.0909046,0.0488759,-0.307962,-0.3499907
"139",-0.0882138,0.0497601,-0.311532,-0.3499857
"140",-0.0537187,-0.00250616,-0.293565,-0.34978986
"141",-0.0583153,0.0256861,-0.317103,-0.3497322
"142",-0.0993261,0.0333073,-0.283601,-0.3496198
"143",-0.0532741,0.00166257,-0.297239,-0.34885053
"144",-0.0922872,0.0474505,-0.303552,-0.3483887
"145",-0.0645693,0.032271,-0.315658,-0.3479563
"146",-0.0834105,0.049843,-0.314097,-0.3476645
"147",-0.0941084,0.0464801,-0.299006,-0.3466343
"148",-0.0537026,0.0129771,-0.305213,-0.3459385
"149",-0.0835221,-0.0044362,-0.257503,-0.3454613
"150",-0.0957395,0.0353977,-0.284923,-0.3452648
"151",-0.0965497,0.0306041,-0.278508,-0.3444536
"152",-0.0783654,0.0494983,-0.315498,-0.3443651
"153",-0.0958705,0.0460659,-0.294549,-0.3443536
"154",-0.0963202,0.0309053,-0.278601,-0.3440159
"155",-0.0962405,0.0322626,-0.278126,-0.3421039
"156",-0.054812,0.0196555,-0.306924,-0.3420805
"157",-0.0603783,0.031267,-0.312891,-0.3420023
"158",-0.0541998,-0.00465809,-0.282973,-0.34183089
"159",-0.0548623,0.0202917,-0.307176,-0.3417466
"160",-0.0832221,-0.00230548,-0.256215,-0.34174258
"161",-0.0878984,0.00734524,-0.260803,-0.34135616
"162",-0.0947337,0.0254402,-0.271732,-0.3410255
"163",-0.0953827,0.0330915,-0.278332,-0.3406232
"164",-0.0539964,0.0221681,-0.308506,-0.3403343
"165",-0.0953868,0.0452539,-0.289994,-0.3401269
"166",-0.0730515,0.0488276,-0.315624,-0.3398479
"167",-0.0544162,0.0244659,-0.309271,-0.3392213
"168",-0.0531991,-0.00270085,-0.283064,-0.33896395
